incident_id,timestamp_start,timestamp_detected,timestamp_resolved,site_id,all_sites,fault_type,severity,title,description,impact,root_cause,prediction_lead_time_minutes,prediction_accuracy_pct,ml_confidence,resolution_action,duration_minutes,sla_breached,users_affected,scenario_index
INC-0001,2026-06-24T02:00:00,2026-06-24T01:54:03.310777,2026-06-24T03:30:00,branch-chennai,branch-chennai,congestion_buildup,HIGH,Interface Congestion Buildup — branch-chennai,Gradual bandwidth utilization increase detected on branch-chennai. Link utilization climbed from 62% to 94% over 90 minutes. VoIP and video traffic experiencing quality degradation. Queue depth at 77% of maximum buffer capacity.,"VoIP call quality degraded, video conferencing affected, ERP response times elevated",Sustained high traffic volume combined with insufficient QoS prioritization,5.9,81,0.938,Reverted QoS policy to approved template,90,NO,70,1
INC-0002,2026-06-24T05:30:00,2026-06-24T05:23:20.219174,2026-06-24T06:00:00,hub-delhi,hub-delhi,bgp_route_flap,CRITICAL,BGP Route Flap — hub-delhi,BGP neighbor instability detected at hub-delhi. Peer 10.0.0.1 flapped 12 times. 9 prefixes withdrawn and re-announced. Hold timer reduced to 66s. Downstream path rerouting observed on dependent branches.,Intermittent connectivity loss to 5 downstream sites. Route reconvergence in progress.,ISP maintenance without prior notification / physical layer instability,6.7,81,0.81,Applied QoS rate-limiting on congested interface,30,YES,98,2
INC-0003,2026-06-24T08:00:00,2026-06-24T07:54:10.107020,2026-06-24T10:00:00,branch-guwahati,branch-guwahati,mpls_tunnel_degradation,HIGH,MPLS Tunnel Degradation — branch-guwahati,"IPSec tunnel health degraded at branch-guwahati. Tunnel health score dropped to 67%. Packet loss at 8.8%, jitter at 14.1ms. DPD failures: 4. Traffic partially rerouted to backup LSP.","Reduced throughput, increased latency, risk of tunnel down event",MPLS underlay physical layer quality degradation / ISP backbone congestion,5.8,96,0.96,Applied QoS rate-limiting on congested interface,120,YES,52,3
INC-0004,2026-06-24T11:00:00,2026-06-24T10:54:18.146811,2026-06-24T11:45:00,branch-bhubaneswar,branch-bhubaneswar,packet_loss_spike,MEDIUM,Packet Loss Spike — branch-bhubaneswar,Packet loss jumped to 14.2% on branch-bhubaneswar. BFD echo failures detected. RTT has increased to 99ms. Affects all applications traversing this branch.,"VoIP calls dropping, TCP retransmissions causing ERP slowdown",Physical layer degradation or ISP underlay congestion,5.7,88,0.763,Coordinated with ISP for physical layer repair,45,NO,77,4
INC-0005,2026-06-24T14:30:00,2026-06-24T14:24:03.083350,2026-06-24T17:30:00,branch-bhubaneswar,"branch-kolkata, branch-bhubaneswar",link_congestion,HIGH,Interface Congestion Buildup — branch-bhubaneswar,Gradual bandwidth utilization increase detected on branch-bhubaneswar. Link utilization climbed from 55% to 90% over 180 minutes. VoIP and video traffic experiencing quality degradation. Queue depth at 99% of maximum buffer capacity.,"VoIP call quality degraded, video conferencing affected, ERP response times elevated",Sustained high traffic volume combined with insufficient QoS prioritization,5.9,93,0.934,Applied QoS rate-limiting on congested interface,180,NO,86,5
INC-0006,2026-06-24T18:00:00,2026-06-24T17:56:24.229662,2026-06-24T18:30:00,hub-delhi,hub-delhi,ospf_adjacency_lost,CRITICAL,CRITICAL: OSPF Adjacency Lost — hub-delhi,OSPF neighbor 10.0.0.1 went DOWN from FULL state at hub-delhi. Dead interval expired. Interface GigabitEthernet0/1 not receiving OSPF Hellos. Routing table affected: 3 routes withdrawn.,Branch isolated from OSPF domain. Traffic blackholed until reconvergence.,Physical layer or MTU mismatch causing OSPF Hello failure,3.6,83,0.967,Replaced SFP module causing CRC errors,30,YES,77,6
INC-0007,2026-06-24T21:00:00,2026-06-24T20:56:14.549930,2026-06-24T22:00:00,branch-jaipur,branch-jaipur,bgp_route_flap,MEDIUM,BGP Route Flap — branch-jaipur,BGP neighbor instability detected at branch-jaipur. Peer 10.1.10.1 flapped 15 times. 6 prefixes withdrawn and re-announced. Hold timer reduced to 67s. Downstream path rerouting observed on dependent branches.,Intermittent connectivity loss to 2 downstream sites. Route reconvergence in progress.,ISP maintenance without prior notification / physical layer instability,3.8,80,0.882,Cleared OSPF process and restored adjacency,60,NO,101,7
INC-0008,2026-06-25T00:30:00,2026-06-25T00:25:56.838806,2026-06-25T02:30:00,branch-lucknow,branch-lucknow,congestion_buildup,HIGH,Interface Congestion Buildup — branch-lucknow,Gradual bandwidth utilization increase detected on branch-lucknow. Link utilization climbed from 56% to 90% over 120 minutes. VoIP and video traffic experiencing quality degradation. Queue depth at 72% of maximum buffer capacity.,"VoIP call quality degraded, video conferencing affected, ERP response times elevated",Sustained high traffic volume combined with insufficient QoS prioritization,4.1,83,0.782,Coordinated with ISP for physical layer repair,120,YES,132,8
INC-0009,2026-06-25T03:00:00,2026-06-25T02:52:18.687538,2026-06-25T03:45:00,dc-mumbai,dc-mumbai,interface_error_spike,HIGH,Interface Error Spike — dc-mumbai,"Sudden spike in interface errors at dc-mumbai. Input errors: 10, CRC errors detected. Interface GigabitEthernet0/1 experiencing quality degradation.","Packet corruption, retransmissions, throughput degradation","Cable quality issue, SFP degradation, or duplex mismatch",7.7,80,0.921,Cleared OSPF process and restored adjacency,45,NO,84,9
INC-0010,2026-06-25T06:00:00,2026-06-25T05:52:44.199314,2026-06-25T07:30:00,branch-nagpur,branch-nagpur,tunnel_rekey_anomaly,MEDIUM,IPSec SA Rekey Anomaly — branch-nagpur,IKEv2 SA rekey taking abnormally long at branch-nagpur. Rekey overdue by 6 seconds. DPD keepalives intermittent. Tunnel flapping risk elevated.,"Potential brief tunnel outage during rekey failure, VPN connectivity at risk","IKE negotiation timeout, possibly due to CPU load on remote peer",7.3,78,0.772,Switched traffic to backup MPLS path,90,YES,73,10
INC-0011,2026-06-25T09:30:00,2026-06-25T09:26:34.304837,2026-06-25T10:00:00,branch-ahmedabad,branch-ahmedabad,bgp_route_flap,HIGH,BGP Route Flap — branch-ahmedabad,BGP neighbor instability detected at branch-ahmedabad. Peer 10.1.5.1 flapped 5 times. 9 prefixes withdrawn and re-announced. Hold timer reduced to 71s. Downstream path rerouting observed on dependent branches.,Intermittent connectivity loss to 7 downstream sites. Route reconvergence in progress.,ISP maintenance without prior notification / physical layer instability,3.4,79,0.943,Replaced SFP module causing CRC errors,30,NO,127,11
INC-0012,2026-06-25T12:00:00,2026-06-25T11:56:12.232416,2026-06-25T16:00:00,branch-bengaluru,branch-bengaluru,progressive_congestion,CRITICAL,CRITICAL: Progressive Congestion — SLA Breach Imminent — branch-bengaluru,Severe progressive congestion on branch-bengaluru. Utilization reached 89%. All traffic classes affected. EF queue saturated. Business-critical applications showing 111ms latency. Packet loss at 16.8%.,SLA breach in <15 minutes. ERP inaccessible. VoIP quality unacceptable.,Bulk backup job scheduled during business hours causing traffic burst,3.8,78,0.965,Reverted QoS policy to approved template,240,YES,182,12
INC-0013,2026-06-25T16:30:00,2026-06-25T16:24:29.538834,2026-06-25T17:30:00,branch-chandigarh,branch-chandigarh,packet_loss_spike,MEDIUM,Packet Loss Spike — branch-chandigarh,Packet loss jumped to 6.9% on branch-chandigarh. BFD echo failures detected. RTT has increased to 112ms. Affects all applications traversing this branch.,"VoIP calls dropping, TCP retransmissions causing ERP slowdown",Physical layer degradation or ISP underlay congestion,5.5,89,0.721,Reset BGP neighbor with increased hold-time,60,YES,143,13
INC-0014,2026-06-25T19:00:00,2026-06-25T18:56:10.974716,2026-06-25T21:30:00,hub-delhi,"hub-delhi, dc-mumbai",route_flap_cascade,CRITICAL,CRITICAL: BGP Route Flap Cascade — Hub-Level Event,Mass BGP prefix withdrawal from hub-delhi affecting all branches. 10 prefixes withdrawn. 14 branches experiencing route reconvergence. OSPF/BGP convergence stress detected across the MPLS fabric.,All branches affected. Inter-site traffic disrupted. SLA breach in progress.,Hub router BGP process instability cascading to all peer sessions,3.8,78,0.866,Switched traffic to backup MPLS path,150,YES,74,14
INC-0015,2026-06-25T23:00:00,2026-06-25T22:56:32.437796,2026-06-25T23:45:00,branch-hyderabad,branch-hyderabad,qos_policy_drift,MEDIUM,QoS Policy Drift Detected — branch-hyderabad,QoS policy mismatch detected at branch-hyderabad. DSCP remarking inconsistency observed. Voice traffic not receiving correct priority treatment.,"VoIP quality degraded, business-critical traffic not prioritized correctly",Configuration change without proper change management process,3.5,81,0.82,Cleared OSPF process and restored adjacency,45,NO,366,15
INC-0016,2026-06-26T02:30:00,2026-06-26T02:22:58.407119,2026-06-26T04:00:00,branch-kochi,branch-kochi,mpls_tunnel_degradation,HIGH,MPLS Tunnel Degradation — branch-kochi,"IPSec tunnel health degraded at branch-kochi. Tunnel health score dropped to 72%. Packet loss at 10.1%, jitter at 9.3ms. DPD failures: 6. Traffic partially rerouted to backup LSP.","Reduced throughput, increased latency, risk of tunnel down event",MPLS underlay physical layer quality degradation / ISP backbone congestion,7.0,90,0.923,Reset BGP neighbor with increased hold-time,90,NO,169,16
INC-0017,2026-06-26T06:00:00,2026-06-26T05:55:58.707168,2026-06-26T06:30:00,branch-pune,branch-pune,ospf_adjacency_lost,HIGH,CRITICAL: OSPF Adjacency Lost — branch-pune,OSPF neighbor 10.1.4.1 went DOWN from FULL state at branch-pune. Dead interval expired. Interface TenGigabitEthernet0/0 not receiving OSPF Hellos. Routing table affected: 7 routes withdrawn.,Branch isolated from OSPF domain. Traffic blackholed until reconvergence.,Physical layer or MTU mismatch causing OSPF Hello failure,4.0,81,0.866,Applied QoS rate-limiting on congested interface,30,NO,170,17
INC-0018,2026-06-26T09:30:00,2026-06-26T09:26:46.886673,2026-06-26T12:30:00,branch-bhopal,"branch-bhopal, branch-nagpur",congestion_buildup,HIGH,Interface Congestion Buildup — branch-bhopal,Gradual bandwidth utilization increase detected on branch-bhopal. Link utilization climbed from 47% to 89% over 180 minutes. VoIP and video traffic experiencing quality degradation. Queue depth at 79% of maximum buffer capacity.,"VoIP call quality degraded, video conferencing affected, ERP response times elevated",Sustained high traffic volume combined with insufficient QoS prioritization,3.2,96,0.888,Reset BGP neighbor with increased hold-time,180,NO,58,18
INC-0019,2026-06-26T13:00:00,2026-06-26T12:53:17.347500,2026-06-26T14:00:00,branch-jaipur,branch-jaipur,link_flap,MEDIUM,Interface Congestion Buildup — branch-jaipur,Gradual bandwidth utilization increase detected on branch-jaipur. Link utilization climbed from 59% to 83% over 60 minutes. VoIP and video traffic experiencing quality degradation. Queue depth at 74% of maximum buffer capacity.,"VoIP call quality degraded, video conferencing affected, ERP response times elevated",Sustained high traffic volume combined with insufficient QoS prioritization,6.7,81,0.818,Coordinated with ISP for physical layer repair,60,NO,104,19
INC-0020,2026-06-26T16:30:00,2026-06-26T16:25:56.605140,2026-06-26T18:30:00,branch-guwahati,branch-guwahati,packet_loss_spike,HIGH,Packet Loss Spike — branch-guwahati,Packet loss jumped to 17.4% on branch-guwahati. BFD echo failures detected. RTT has increased to 62ms. Affects all applications traversing this branch.,"VoIP calls dropping, TCP retransmissions causing ERP slowdown",Physical layer degradation or ISP underlay congestion,4.1,81,0.905,Cleared OSPF process and restored adjacency,120,NO,68,20
INC-0021,2026-06-26T19:00:00,2026-06-26T18:53:44.253202,2026-06-26T19:45:00,branch-chennai,branch-chennai,bgp_route_flap,CRITICAL,BGP Route Flap — branch-chennai,BGP neighbor instability detected at branch-chennai. Peer 10.1.2.1 flapped 10 times. 9 prefixes withdrawn and re-announced. Hold timer reduced to 58s. Downstream path rerouting observed on dependent branches.,Intermittent connectivity loss to 6 downstream sites. Route reconvergence in progress.,ISP maintenance without prior notification / physical layer instability,6.3,78,0.831,Coordinated with ISP for physical layer repair,45,YES,291,21
INC-0022,2026-06-26T22:00:00,2026-06-26T21:52:19.129856,2026-06-26T23:30:00,hub-delhi,hub-delhi,congestion_buildup,HIGH,Interface Congestion Buildup — hub-delhi,Gradual bandwidth utilization increase detected on hub-delhi. Link utilization climbed from 62% to 94% over 90 minutes. VoIP and video traffic experiencing quality degradation. Queue depth at 92% of maximum buffer capacity.,"VoIP call quality degraded, video conferencing affected, ERP response times elevated",Sustained high traffic volume combined with insufficient QoS prioritization,7.7,78,0.768,Reverted QoS policy to approved template,90,NO,75,22
